ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_Cytoplasm_Count,Intensity_IntegratedIntensityEdge_CropBlue,Intensity_IntegratedIntensity_CropBlue,Intensity_LowerQuartileIntensity_CropBlue,Intensity_MADIntensity_CropBlue,Intensity_MassDisplacement_CropBlue,Intensity_MaxIntensityEdge_CropBlue,Intensity_MaxIntensity_CropBlue,Intensity_MeanIntensityEdge_CropBlue,Intensity_MeanIntensity_CropBlue,Intensity_MedianIntensity_CropBlue,Intensity_MinIntensityEdge_CropBlue,Intensity_MinIntensity_CropBlue,Intensity_StdIntensityEdge_CropBlue,Intensity_StdIntensity_CropBlue,Intensity_UpperQuartileIntensity_CropBlue,Location_CenterMassIntensity_X_CropBlue,Location_CenterMassIntensity_Y_CropBlue,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_CropBlue,Location_MaxIntensity_Y_CropBlue,Number_Object_Number,Parent_Nuclei,Texture_AngularSecondMoment_CropBlue_3_0,Texture_Contrast_CropBlue_3_0,Texture_Correlation_CropBlue_3_0,Texture_DifferenceEntropy_CropBlue_3_0,Texture_DifferenceVariance_CropBlue_3_0,Texture_Entropy_CropBlue_3_0,Texture_Gabor_CropBlue_3,Texture_InfoMeas1_CropBlue_3_0,Texture_InfoMeas2_CropBlue_3_0,Texture_InverseDifferenceMoment_CropBlue_3_0,Texture_SumAverage_CropBlue_3_0,Texture_SumEntropy_CropBlue_3_0,Texture_SumVariance_CropBlue_3_0,Texture_Variance_CropBlue_3_0
2,2,977,95.0,18.0,1.1131571946980165,0.57260634060337257,1.0,0.6121553884711779,0.50532200652061021,40.698574651881216,43.657759905886145,12.727922061357855,4.8538435748570619,4.4721359549995796,33.108837520384483,33.365931067914993,-27.160951250393889,155.87199999999996,0.87310098302055406,1,5.9568629395216703,48.352942609228194,0.0078431377187371254,0.0039215683937072754,8.1079896894307186,0.10196078568696976,0.40392157435417175,0.034835455786676434,0.049491241155811869,0.011764706112444401,0.0078431377187371254,0.0078431377187371254,0.034305172338318868,0.066151742661882201,0.078431375324726105,98.462124889009573,25.374128119448354,93.78915046059366,18.748208802456499,101.0,27.0,2,2,0.43883720930232561,0.66511627906976745,0.7893621269809058,0.69558742738413504,0.56800432666306122,1.5364943845154684,0.41333569456663544,-0.50075457587275751,0.81049852375229936,0.87710407239818988,3.2511627906976739,1.3440306748770328,5.6252893455922131,1.5611614386154677
2,3,1062,164.0,24.0,1.1252477930887554,0.44488702945070291,1.0,0.56309650053022264,0.44851433010035785,41.09039094447909,45.891175622335062,14.142135623730951,5.1220007111971055,4.4721359549995796,36.742054912889536,36.800007485666022,88.025771512009612,172.49599999999984,0.80945121951219512,1,8.6745100906118751,105.15294399578124,0.019607843831181526,0.043137255124747753,4.6045606845666729,0.18431372940540314,0.44705882668495178,0.044713969539236467,0.099014071559116054,0.054901961237192154,0.0078431377187371254,0.0078431377187371254,0.044610384051281309,0.09533696248027386,0.17254902422428131,167.80842097973533,26.136756929211096,165.07250470809794,22.433145009416197,171.0,30.0,3,3,0.1732172388604821,1.2962162162162163,0.77913745202494133,1.1239445051843309,0.78865624543462376,2.6713146497282354,1.3667946854604809,-0.28800952055061957,0.77194637581552072,0.70185691573926867,4.9178378378378378,2.0607633057415251,10.417033162892622,2.924206281957634
2,4,636,56.0,35.0,1.0707599611226248,0.52906496072089704,1.0,0.55448997384481258,0.53747757896771031,31.774567473471336,36.0,12.0,4.4481041573564202,4.0,28.284271247461902,26.96330460910352,7.6169622304205955,121.94200000000006,0.8833333333333333,1,3.827451097778976,70.886276546865702,0.031372550874948502,0.062745099887251854,0.3049188658404679,0.08235294371843338,0.43529412150382996,0.028143022777786589,0.11145640966488318,0.090196080505847931,0.0078431377187371254,0.0078431377187371254,0.016500511184245129,0.089080519910345768,0.16862745583057404,53.550951535788343,35.248893557598187,53.85377358490566,35.284591194968556,56.0,34.0,4,4,0.084878377240972996,1.4440366972477066,0.7354315219327614,1.1765227690763225,0.75315545829475639,2.9845578139744546,3.518138301372657,-0.25627600700023717,0.76557115874961235,0.64542903399892071,5.4587155963302756,2.2992434150448315,9.4666442218668472,2.6982038548943694
2,5,703,15.0,39.0,1.0517403976027355,0.35074765123782986,1.0,0.64613970588235292,0.69091451198327536,31.690622905292138,34.928498393145958,12.369316876852981,4.6965480227137775,4.1231056256176606,28.174456516497351,29.677318042454502,-87.059073698390023,113.07600000000005,0.90476190476190477,1,3.3411765890195966,75.66274718940258,0.027450980618596077,0.050980394706130028,0.56727558398592537,0.070588238537311554,0.34509804844856262,0.026308477078894461,0.10762837438037351,0.070588238537311554,0.011764706112444401,0.011764706112444401,0.011698752572201777,0.08946656993807342,0.18431372940540314,14.227428209083369,39.195190214986724,14.514935988620199,39.684210526315788,13.0,40.0,5,5,0.097530589176835561,2.2951907131011611,0.74437247320873345,1.3540678750741866,1.2985047124796141,3.1570362450517515,2.4003784032707571,-0.25567920893945295,0.77975441491761732,0.62073323407827374,6.2951907131011602,2.3815991924302047,15.647522476066323,4.4313149564504739
2,6,551,191.0,39.0,1.0907541103676432,0.7235194798098753,1.0,0.70370370370370372,0.70638006362275596,32.223354013879764,31.89043743820395,10.63014581273465,4.6088486791844625,4.2426406871192848,22.2784171083239,22.243909000323132,-45.496922060625558,99.006000000000043,0.91604322527015791,1,5.6509805861860514,54.886275893077254,0.027450980618596077,0.058823533356189728,1.8445784757179049,0.19215686619281769,0.25882354378700256,0.050455183805232603,0.099612115958397918,0.086274512112140656,0.015686275437474251,0.015686275437474251,0.047901810550141269,0.071543845304927689,0.1617647111415863,184.15218632737103,41.823949700964583,185.91288566243193,42.373865698729581,186.0,40.0,6,6,0.082686162306777639,2.3642241379310343,0.78724789409801821,1.3447846574115232,1.1513776382282996,3.1430639240484632,3.2106287026576243,-0.29083701682701346,0.81865520690569471,0.57473377281947258,7.1961206896551717,2.4520841426346633,19.028347019916765,5.1228448275862082
2,7,238,163.0,44.0,2.3144683819897076,0.96892030072054924,1.0,0.37777777777777777,0.4351468567590886,36.377615281923219,34.669871646719429,4.4721359549995796,2.098058236604873,2.0,9.9760860558452773,8.9988434811309101,31.704755243749794,82.904000000000039,0.90666666666666662,1,7.341176706366241,22.513726135715842,0.027450980618596077,0.066666668280959129,3.6607333711829755,0.17647059261798859,0.25490197539329529,0.074153300064305469,0.094595487965192612,0.094117648899555206,0.0078431377187371254,0.0078431377187371254,0.058419664938586066,0.069895296254507661,0.15686275064945221,161.00226440646745,43.801079943595632,158.17226890756302,41.478991596638657,164.0,45.0,7,7,0.085876601928920604,2.3333333333333335,0.7799873541461364,1.3384321525377481,1.3333333333333335,3.0296394555499302,2.8298457303539841,-0.36217489746795584,0.86516517275191374,0.62418994122848082,7.3448275862068959,2.420283290068852,17.766151407055087,5.1000462412471919
2,8,885,123.0,42.0,1.0531833112809172,0.43969443018602661,1.0,0.60204081632653061,0.57751325712526003,36.254721744755592,41.303752856126764,14.142135623730951,5.1226318534315309,4.4721359549995796,32.973429588435735,32.56208520174782,-18.297372383779244,138.77000000000004,0.89123867069486395,1,2.9725491348654032,71.388237391598523,0.015686275437474251,0.027450981549918652,3.1095264226796462,0.062745101749897003,0.37647059559822083,0.018813602119401286,0.080664675018755391,0.035294119268655777,0.0078431377187371254,0.0078431377187371254,0.011662996572549322,0.082430976759572588,0.15294118225574493,123.49901120348747,44.489562735522412,123.43050847457627,41.380790960451975,128.0,48.0,8,8,0.21408078887220869,1.4236200256739409,0.76779324964588835,1.1061211988543356,0.98656155401497236,2.4764447966398828,2.8700533992646586,-0.3300597086647139,0.79150585141312235,0.7364085808169476,4.7612323491655966,1.9656835582866088,10.836443153972786,3.0709823495775659
2,9,662,37.0,52.0,1.0879414847767137,0.47254320297606811,1.0,0.59318996415770608,0.65659819514609696,32.149063714738602,35.355339059327378,12.0,4.4903829439396077,4.0,28.403954220928735,28.333211184361293,-12.34001695773742,112.56000000000004,0.91184573002754821,1,3.3098040390759706,69.486276265233755,0.023529412224888802,0.054901963099837303,0.91222946561680107,0.066666670143604279,0.42352941632270813,0.025857844055281021,0.10496416354264917,0.070588238537311554,0.011764706112444401,0.011764706112444401,0.014569939940425918,0.090199777395271394,0.18039216101169586,37.137479549032506,51.336644285490571,36.40634441087613,51.882175226586099,38.0,54.0,9,9,0.11978554844329395,1.4518388791593697,0.74797535666634385,1.1774616311904769,0.81127833616017631,2.8177419536797861,4.1867791612910823,-0.26101547005483844,0.75638038715877609,0.66268196622580056,5.2241681260945709,2.1991552248804842,10.068837968230987,2.8898880815602936
2,10,721,103.0,58.0,1.2424683425974659,0.79813359046608745,1.0,0.51684587813620075,0.53376442782866729,40.91994352381829,45.607017003965517,11.313708498984761,4.3023217012452246,3.6055512754639891,26.682446311694711,24.653468675679576,-71.82871182733372,130.28600000000006,0.88738461538461544,1,5.6431374009698629,77.019609717652202,0.027450980618596077,0.062745099887251854,1.1661960016645811,0.16862745583057404,0.45098039507865906,0.037371770867350086,0.10682331444889348,0.08235294371843338,0.0078431377187371254,0.0078431377187371254,0.034418455771044763,0.089944644729268497,0.17647059261798859,102.20570264947179,62.391853355177425,101.54230235783633,61.432732316227465,102.0,56.0,10,10,0.10995997038271088,1.9710884353741496,0.62051319794204751,1.287658931872792,1.1308106575963721,2.9057317747813447,1.6037327987058581,-0.23515777522966982,0.7345343603022032,0.6383233750880809,5.2023809523809526,2.1740211766350575,8.4097222222222214,2.6553837521403119
2,11,588,159.0,58.0,1.3416700015948417,0.78388602761578097,1.0,0.50909090909090904,0.53621601814736775,38.093989867745201,38.587562763149478,10.0,3.6971714302485839,3.1622776601683795,25.858015056750958,23.652738860722081,52.674328608451589,117.38800000000005,0.81951219512195117,1,10.129412069916725,70.121570409275591,0.078431375324726105,0.043137259781360626,1.302460205719244,0.18039216101169586,0.27058824896812439,0.075592627387438244,0.11925437144434624,0.12156862765550613,0.0078431377187371254,0.0078431377187371254,0.049609890321690525,0.059654928410686252,0.16862745583057404,157.31502712234831,56.634528264126573,156.52551020408163,55.598639455782312,157.0,60.0,11,11,0.04421658356669627,1.8264462809917354,0.70757375185240046,1.1997614492013733,0.68984358991872141,3.3316661032228194,3.3183858695456609,-0.23492551291231775,0.76955092656188773,0.54239183276616432,8.3553719008264462,2.48540902057211,10.658834779045147,3.1186565125332968
